"행정구역","2025년09월_총인구수","2025년09월_세대수","2025년09월_남자 인구수","2025년09월_여자 인구수"
"서울특별시  (1100000000)","9,318,500","4,505,357","4,491,997","4,826,503"
"서울특별시 종로구 (1111000000)","137,545","72,402","66,032","71,513"
"서울특별시 중구 (1114000000)","118,458","64,259","56,869","61,589"
"서울특별시 용산구 (1117000000)","202,636","103,187","96,590","106,046"
"서울특별시 성동구 (1120000000)","274,195","132,994","132,518","141,677"
"서울특별시 광진구 (1121500000)","332,072","171,265","158,955","173,117"
"서울특별시 동대문구 (1123000000)","344,572","176,040","168,148","176,424"
"서울특별시 중랑구 (1126000000)","377,101","188,870","184,274","192,827"
"서울특별시 성북구 (1129000000)","423,991","199,326","202,601","221,390"
"서울특별시 강북구 (1130500000)","280,068","142,545","134,794","145,274"
"서울특별시 도봉구 (1132000000)","300,820","139,130","145,194","155,626"
"서울특별시 노원구 (1135000000)","485,526","217,252","232,341","253,185"
"서울특별시 은평구 (1138000000)","457,412","215,129","216,297","241,115"
"서울특별시 서대문구 (1141000000)","301,098","146,450","142,334","158,764"
"서울특별시 마포구 (1144000000)","358,744","180,703","166,572","192,172"
"서울특별시 양천구 (1147000000)","426,587","179,924","207,678","218,909"
"서울특별시 강서구 (1150000000)","550,669","273,397","263,123","287,546"
"서울특별시 구로구 (1153000000)","385,222","184,587","188,346","196,876"
"서울특별시 금천구 (1154500000)","223,603","121,441","112,337","111,266"
"서울특별시 영등포구 (1156000000)","372,245","192,641","181,710","190,535"
"서울특별시 동작구 (1159000000)","373,409","187,337","180,130","193,279"
"서울특별시 관악구 (1162000000)","478,809","288,964","240,880","237,929"
"서울특별시 서초구 (1165000000)","412,479","172,911","195,928","216,551"
"서울특별시 강남구 (1168000000)","556,324","245,478","265,884","290,440"
"서울특별시 송파구 (1171000000)","645,729","286,836","309,190","336,539"
"서울특별시 강동구 (1174000000)","499,186","222,289","243,272","255,914"
"부산광역시  (2600000000)","3,248,359","1,574,726","1,579,327","1,669,032"
"부산광역시 중구 (2611000000)","36,729","23,349","17,791","18,938"
"부산광역시 서구 (2614000000)","102,322","53,610","49,015","53,307"
"부산광역시 동구 (2617000000)","84,160","46,340","40,817","43,343"
"부산광역시 영도구 (2620000000)","102,070","53,435","50,032","52,038"
"부산광역시 부산진구 (2623000000)","365,433","188,487","174,795","190,638"
"부산광역시 동래구 (2626000000)","274,078","122,914","131,987","142,091"
"부산광역시 남구 (2629000000)","251,504","119,180","122,145","129,359"
"부산광역시 북구 (2632000000)","263,825","122,092","129,324","134,501"
"부산광역시 해운대구 (2635000000)","373,263","169,726","178,671","194,592"
"부산광역시 사하구 (2638000000)","287,772","140,051","142,646","145,126"
"부산광역시 금정구 (2641000000)","207,438","104,801","100,877","106,561"
"부산광역시 강서구 (2644000000)","148,362","64,545","76,655","71,707"
"부산광역시 연제구 (2647000000)","211,599","99,957","100,894","110,705"
"부산광역시 수영구 (2650000000)","169,749","87,781","79,480","90,269"
"부산광역시 사상구 (2653000000)","195,173","98,789","97,532","97,641"
"부산광역시 기장군 (2671000000)","174,882","79,669","86,666","88,216"
"대구광역시  (2700000000)","2,356,372","1,111,207","1,154,611","1,201,761"
"대구광역시 중구 (2711000000)","100,724","50,169","48,178","52,546"
"대구광역시 동구 (2714000000)","339,912","165,494","166,063","173,849"
"대구광역시 서구 (2717000000)","162,529","84,432","80,484","82,045"
"대구광역시 남구 (2720000000)","135,984","75,546","64,740","71,244"
"대구광역시 북구 (2723000000)","411,210","193,019","203,440","207,770"
"대구광역시 수성구 (2726000000)","409,457","176,458","196,760","212,697"
"대구광역시 달서구 (2729000000)","519,009","238,800","254,025","264,984"
"대구광역시 달성군 (2771000000)","255,197","113,853","129,311","125,886"
"대구광역시 군위군 (2772000000)","22,350","13,436","11,610","10,740"
"인천광역시  (2800000000)","3,046,754","1,396,627","1,521,985","1,524,769"
"인천광역시 중구 (2811000000)","174,663","87,966","90,402","84,261"
"인천광역시 중구영종출장소 (2811400000)","0","0","0","0"
"인천광역시 중구용유출장소 (2811800000)","0","0","0","0"
"인천광역시 동구 (2814000000)","56,764","27,338","28,425","28,339"
"인천광역시 미추홀구 (2817700000)","418,425","205,521","210,515","207,910"
"인천광역시 연수구 (2818500000)","407,833","168,172","201,829","206,004"
"인천광역시 남동구 (2820000000)","481,212","225,200","238,730","242,482"
"인천광역시 부평구 (2823700000)","491,820","226,455","241,505","250,315"
"인천광역시 계양구 (2824500000)","277,665","128,221","138,199","139,466"
"인천광역시 서구 (2826000000)","649,040","279,422","326,304","322,736"
"인천광역시 서구검단출장소 (2826500000)","0","0","0","0"
"인천광역시 강화군 (2871000000)","69,664","36,025","34,854","34,810"
"인천광역시 옹진군 (2872000000)","19,668","12,307","11,222","8,446"
"광주광역시  (2900000000)","1,397,122","659,278","689,326","707,796"
"광주광역시 동구 (2911000000)","105,032","55,122","51,436","53,596"
"광주광역시 서구 (2914000000)","276,083","132,726","134,970","141,113"
"광주광역시 남구 (2915500000)","207,944","96,322","99,349","108,595"
"광주광역시 북구 (2917000000)","418,974","202,000","207,024","211,950"
"광주광역시 광산구 (2920000000)","389,089","173,108","196,547","192,542"
"대전광역시  (3000000000)","1,442,228","697,288","718,760","723,468"
"대전광역시 동구 (3011000000)","219,546","112,976","110,534","109,012"
"대전광역시 중구 (3014000000)","226,046","109,837","110,812","115,234"
"대전광역시 서구 (3017000000)","463,776","222,119","227,233","236,543"
"대전광역시 유성구 (3020000000)","366,516","171,180","185,739","180,777"
"대전광역시 대덕구 (3023000000)","166,344","81,176","84,442","81,902"
"울산광역시  (3100000000)","1,092,634","498,241","562,946","529,688"
"울산광역시 중구 (3111000000)","204,072","94,271","103,239","100,833"
"울산광역시 남구 (3114000000)","304,440","142,819","155,840","148,600"
"울산광역시 동구 (3117000000)","149,681","68,335","78,221","71,460"
"울산광역시 북구 (3120000000)","215,617","89,963","112,126","103,491"
"울산광역시 울주군 (3171000000)","218,824","102,853","113,520","105,304"
"세종특별자치시  (3600000000)","392,230","165,343","195,235","196,995"
"세종특별자치시  (3611000000)","392,230","165,343","195,235","196,995"
"경기도  (4100000000)","13,721,178","6,110,044","6,891,911","6,829,267"
"경기도 수원시 (4111000000)","1,188,644","542,056","597,209","591,435"
"경기도 수원시 장안구 (4111100000)","271,690","122,451","136,197","135,493"
"경기도 수원시 권선구 (4111300000)","361,366","165,373","182,360","179,006"
"경기도 수원시 팔달구 (4111500000)","192,685","97,793","96,907","95,778"
"경기도 수원시 영통구 (4111700000)","362,903","156,439","181,745","181,158"
"경기도 성남시 (4113000000)","907,068","409,693","448,278","458,790"
"경기도 성남시 수정구 (4113100000)","232,661","116,320","117,637","115,024"
"경기도 성남시 중원구 (4113300000)","204,532","100,032","102,974","101,558"
"경기도 성남시 분당구 (4113500000)","469,875","193,341","227,667","242,208"
"경기도 의정부시 (4115000000)","461,568","211,913","226,599","234,969"
"경기도 안양시 (4117000000)","563,789","239,976","278,030","285,759"
"경기도 안양시 만안구 (4117100000)","234,036","105,519","116,556","117,480"
"경기도 안양시 동안구 (4117300000)","329,753","134,457","161,474","168,279"
"경기도 부천시 (4119000000)","761,265","342,749","375,202","386,063"
"경기도 부천시 원미구 (4119200000)","385,788","174,663","189,219","196,569"
"경기도 부천시 소사구 (4119400000)","226,200","98,960","110,694","115,506"
